"feature","coef","hr","hr_lower","hr_upper","se","z","pvalue","significant","hr_formatted"
"RR",0.511436028589652,1.66768431859766,1.59684937024837,1.74166144804501,0.0221446348218531,23.0952568287533,5.16710346110218e-118,"Yes","1.67 (1.60-1.74)"
"RR_x_Hgb",0.482504564184963,1.62012703718463,1.55335153025917,1.68977309094916,0.021474331645415,22.4688978521938,8.36411569949298e-112,"Yes","1.62 (1.55-1.69)"
"SaO2",-0.4612635930638,0.630486463633985,0.605064479118657,0.656976561249654,0.0209982941381604,-21.9667173927972,5.994766721408e-107,"Yes","0.63 (0.61-0.66)"
"HR",0.456267205630187,1.57817198487143,1.51206154631874,1.64717290767474,0.0218332772775598,20.8977882628339,5.60839932166008e-97,"Yes","1.58 (1.51-1.65)"
"HR_x_Hgb",0.369329173648567,1.44676376180717,1.38881152750258,1.50713422305933,0.020857555319381,17.7072129496108,3.68891942017983e-70,"Yes","1.45 (1.39-1.51)"
"hour_of_day",0.401751192713381,1.49443945898871,1.42839481119463,1.56353781117045,0.0230611676436199,17.4211123617814,5.70570156968941e-68,"Yes","1.49 (1.43-1.56)"
"RR_mean_prev",0.446847266034359,1.56337550051056,1.48380054406275,1.64721799393901,0.0266533339758265,16.7651546496821,4.38870837461443e-63,"Yes","1.56 (1.48-1.65)"
"hour_cos",-0.325861907889284,0.721904869916098,0.689454496205798,0.755882576843794,0.0234656486672613,-13.8867632644615,7.62017727591869e-44,"Yes","0.72 (0.69-0.76)"
"TS",-0.37027842765814,0.690542037866334,0.654341973904343,0.72874479259724,0.0274728268627601,-13.4779878862797,2.10776843709859e-41,"Yes","0.69 (0.65-0.73)"
"HR_mean_prev",0.348935948162753,1.41755839021476,1.34577767968048,1.49316772005415,0.0265121947431239,13.1613376992582,1.46469458674202e-39,"Yes","1.42 (1.35-1.49)"
"SBP_std_prev",0.26375313878764,1.30180679102859,1.24742385316357,1.35856061824555,0.0217717507935378,12.1144661855089,8.85386913735316e-34,"Yes","1.30 (1.25-1.36)"
